,,,R1,R2,R3,R4,R5,R6,R7,R8,Wins,Spk
61,🤖Chad 1,,"vs 🏷
265.00","vs 🛥
264.00","vs 🎾
268.25","vs 🍓
263.00","vs 💅
267.00","vs 👶
268.50","vs 🦇
264.50","vs 💍
267.83",3,2128.08
62,💌UOW 3,,"vs 👅
267.50","vs 🍠
264.50","vs 🛥
266.00","vs 🤞
268.00","vs 🎓
265.50","vs 👔
263.00","vs 🍝
267.33","vs 🥋
264.33",3,2126.17
63,⬛Melbourne 5,,"vs 😖
262.75","vs 🍎
265.33","vs ⛸
264.50","vs 💍
267.17","vs 👔
268.50","vs 😑
263.50","vs 🥋
267.50","vs 👓
266.00",3,2125.25
64,🤠MAD 4,,"vs 📅
265.00","vs 🆘
264.50","vs ⚓
264.00","vs ⛳
265.00","vs 👅
266.75","vs 💍
267.50","vs 🎃
265.00","vs 🤓
265.83",3,2123.58
65,🏳ANU 2,,"vs 🤘
262.50","vs ⛸
266.25","vs 🐤
266.33","vs 🚰
265.67","vs 👓
263.00","vs 🚃
266.50","vs 🎾
266.75","vs 🖤
261.50",3,2118.5
66,⛈UI 2,"ESL, EFL","vs 🐍
264.00","vs 🐤
263.75","vs 🐢
265.00","vs 😖
266.50","vs 🛥
263.83","vs 🎲
263.50","vs 🐶
268.00","vs 👾
263.75",3,2118.33
67,🍔UNIMAS 1,ESL,"vs 🎾
263.17","vs 💀
267.00","vs 😖
266.50","vs ⛸
263.50","vs 🖤
264.00","vs 🤓
265.50","vs 🐤
261.50","vs 🥅
265.67",3,2116.83
68,😑Hogwarts 1,,"vs 🍍
262.50","vs 🐻
262.00","vs 👔
266.75","vs 🐤
264.00","vs ⏳
263.50","vs ⬛
265.83","vs 🎲
263.50","vs ⛳
268.00",3,2116.08
69,🍠UNSW 6,,"vs 🥅
262.00","vs 💌
263.50","vs 🖤
267.50","vs 🐶
266.50","vs 🥃
259.00","vs 🎆
266.25","vs 🍓
264.75","vs 🥕
266.50",3,2116
70,🦇UNSW 5,,"vs 🚠
257.00","vs 👓
264.75","vs 🥛
263.00","vs 💿
264.17","vs 🍎
264.50","vs ⏳
266.17","vs 🤖
265.50","vs 🍕
267.00",3,2112.08
71,🍍UCAN 1,,"vs 😑
263.50","vs 🥕
260.50","vs 💔
262.50","vs 💫
266.50","vs 🎆
265.75","vs 🍝
262.00","vs 🦊
264.83","vs 🍎
264.00",3,2109.58
72,👏UM 3,ESL,"vs 🤞
260.00","vs 🌗
264.50","vs 🔌
265.00","vs 🎼
262.50","vs ⚓
266.25","vs 🦊
267.67","vs 👾
262.50","vs 😡
260.33",3,2108.75
73,👂UT MARA 1,ESL,"vs 👾
263.00","vs 👶
260.50","vs 🎃
261.50","vs 🤒
267.25","vs 🍝
263.50","vs 🥛
263.83","vs 🚃
265.50","vs 🐶
263.00",3,2108.08
74,🏷UoA 4,,"vs 🤖
264.50","vs 🥅
263.50","vs 🤓
261.50","vs 👅
262.00","vs 👾
263.25","vs ⚓
264.17","vs 🍎
263.50","vs 😖
264.00",3,2106.42
75,👶MAD 3,,"vs 🖤
268.00","vs 👂
259.00","vs 💀
264.67","vs 🎾
260.00","vs 🏁
259.17","vs 🤖
269.00","vs 🆘
259.00","vs 🎼
263.00",3,2101.83
76,🐤WSDU 1,,"vs 💔
257.50","vs ⛈
260.25","vs 🏳
262.33","vs 😑
260.67","vs 🍟
264.50","vs 🤒
266.17","vs 🍔
263.00","vs 🎆
262.17",3,2096.58
77,⚓BHU 1,"ESL, EFL","vs 🏁
264.17","vs 💰
254.00","vs 🤠
258.00","vs 🍎
262.67","vs 👏
265.25","vs 🏷
262.67","vs 💀
263.00","vs 🤒
266.00",3,2095.75
78,🤒UPM 1,ESL,"vs 🎠
261.00","vs 🎺
265.50","vs 🍎
267.17","vs 👂
263.50","vs 💍
263.00","vs 🐤
261.33","vs 📦
263.00","vs ⚓
263.50",2,2108
79,👓SUFE 2,"ESL, EFL","vs 🌲
263.33","vs 🦇
263.75","vs 🍟
260.67","vs 👖
260.50","vs 🏳
261.00","vs 😖
265.17","vs 🎼
265.50","vs ⬛
263.00",2,2102.92
80,💍MONASH 1,ESL,"vs 🍟
263.00","vs ⬜
260.00","vs 🍕
257.00","vs ⬛
263.50","vs 🤒
267.25","vs 🤠
262.83","vs 🎆
262.00","vs 🤖
264.33",2,2099.92
81,🥅Otago 3,,"vs 🍠
259.00","vs 🏷
260.25","vs 🎼
263.67","vs 🍟
263.33","vs 💦
262.00","vs 🏁
263.17","vs 👖
263.50","vs 🍔
262.67",2,2097.58
82,😡SUTSC 1,ESL,"vs 🚔
263.17","vs 💅
264.50","vs 🏁
258.67","vs 📦
260.50","vs 🐶
261.25","vs 💀
263.25","vs ⏳
262.00","vs 👏
255.50",2,2088.83
83,🐶IBA-DU 3,ESL,"vs 🍒
259.50","vs 🥋
261.00","vs 🎆
262.50","vs 🍠
255.50","vs 😡
264.25","vs 💫
260.50","vs ⛈
266.50","vs 👂
257.00",2,2086.75
84,⏳UM 4,ESL,"vs 🍕
260.50","vs 🚃
258.00","vs 👅
260.67","vs 🌗
260.50","vs 😑
261.50","vs 🦇
261.67","vs 😡
259.25","vs 💀
264.33",2,2086.42
85,🏁UM 5,ESL,"vs ⚓
259.00","vs 🚁
257.00","vs 😡
259.83","vs 🐿
262.33","vs 👶
255.67","vs 🥅
259.17","vs 🍟
264.00","vs 🌗
261.75",2,2078.75
86,😖UTM 1,ESL,"vs ⬛
263.75","vs 🔥
256.00","vs 🍔
262.00","vs ⛈
260.00","vs 🙃
258.83","vs 👓
258.00","vs 🌗
260.33","vs 🏷
257.67",2,2076.58
87,🍟UUM 1,ESL,"vs 💍
258.50","vs 🎃
256.50","vs 👓
257.17","vs 🥅
259.50","vs 🐤
259.75","vs 🌗
256.17","vs 🏁
265.00","vs 📦
261.00",2,2073.58
88,🌗BUP 1,ESL,"vs 💭
264.50","vs 👏
260.25","vs 🥃
263.00","vs ⏳
257.75","vs 💀
258.67","vs 🍟
260.67","vs 😖
257.00","vs 🏁
259.25",1,2081.08
89,📦SUFE 1,"ESL, EFL","vs 🙃
256.50","vs 💫
260.25","vs 🐿
259.50","vs 😡
263.00","vs 🦊
259.50","vs 🥋
261.75","vs 🤒
261.00","vs 🍟
258.00",1,2079.5
90,💀IUT 1,ESL,"vs 🎓
254.00","vs 🍔
260.50","vs 👶
260.50","vs 🥋
258.00","vs 🌗
260.83","vs 😡
261.00","vs ⚓
261.00","vs ⏳
261.00",1,2076.83
